Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
294,-0.87933,0.447924,-1.41911,293.701,82.0509,473.108,76,64,64,80
295,-0.875586,0.443884,-1.42374,313.385,85.9428,474.367,76,64,64,80
296,-0.871364,0.445354,-1.42676,333.629,90.2597,475.466,76,64,64,80
297,-0.852447,0.452226,-1.4323,354.207,94.1397,475.867,76,64,64,80
298,-0.848434,0.425429,-1.43031,375.725,98.7562,478.049,76,64,64,80
299,-0.837302,0.454971,-1.44225,397.269,103.495,478.005,76,64,64,80
300,-0.837018,0.450994,-1.44376,420.394,108.395,479.219,76,64,64,80
301,-0.849126,0.441431,-1.4594,443.662,114.213,481.35,72,64,64,80
302,-0.155543,0.734605,-1.23371,420.668,185.808,558.797,72,64,64,80
303,-0.119485,0.737515,-1.26103,441.984,189.49,561.357,72,64,64,80
304,-0.14091,0.729071,-1.24236,468.725,196.537,560.097,72,64,64,80
305,-0.118564,0.718062,-1.26727,491.115,201.071,562.462,72,64,64,80
306,-0.116194,0.699784,-1.26313,516.427,207.214,562.654,72,64,64,80
307,-0.123023,0.703132,-1.24584,544.032,214.349,562.697,72,64,64,80
308,-0.12557,0.707719,-1.22383,571.777,221.511,563.164,72,64,64,80
309,-0.116751,0.697731,-1.23097,598.463,227.784,563.997,72,64,64,80
310,-0.0966068,0.669178,-1.27392,623.805,233.834,565.926,72,64,64,80
311,-0.0841923,0.663506,-1.27902,651.661,240.482,567.062,68,64,64,80
312,-0.0814065,0.651735,-1.2829,680.195,247.812,568.353,68,64,64,80
313,-0.0623458,0.63401,-1.30455,707.966,254.656,569.818,68,64,64,80
314,-0.0532047,0.621752,-1.31447,737.38,262.066,571.176,68,64,64,80
315,-0.0475997,0.61694,-1.31762,767.71,270.236,572.555,68,64,64,80
316,-0.0294031,0.591284,-1.34574,796.814,277.639,574.383,68,64,64,80
317,-0.0241494,0.581644,-1.35337,827.699,285.81,576.453,68,64,64,80
318,-0.000808165,0.54787,-1.39967,857.39,293.901,578.525,68,64,64,80
319,0.00656914,0.55007,-1.38597,889.92,302.533,580.065,68,64,64,80
320,0.0074766,0.549583,-1.38185,922.904,311.37,582.268,68,64,64,80
